"k","max_depth","n","mean_f1","sd_f1","se","t_value","ci_lower","ci_upper"
"3","3",10,0.0570647384134129,0.00541534286423783,0.00171248177617315,2.2621571627982,0.0531908354972814,0.0609386413295444
"3","5",10,0.575263647097959,0.0140994519168907,0.00445863818174016,2.2621571627982,0.56517750679881,0.585349787397108
"3","None",10,0.790137511871482,0.00742120967078165,0.00234679255533384,2.2621571627982,0.784828698282832,0.795446325460132
"5","3",10,0.0608046979089907,0.00587037913796347,0.00185637688047004,2.2621571627982,0.0566052816519824,0.065004114165999
"5","5",10,0.594610474837756,0.0133578307711145,0.00422411698358052,2.2621571627982,0.585054858346852,0.60416609132866
"5","None",10,0.797510182666443,0.0060749912053287,0.00192108089743303,2.2621571627982,0.793164395754,0.801855969578886
"10","3",10,0.0544809050264212,0.00410499532893561,0.00129811350237886,2.2621571627982,0.0515443682688898,0.0574174417839526
"10","5",10,0.593906049500608,0.00956125925147453,0.00302353565340161,2.2621571627982,0.587066336665289,0.600745762335926
"10","None",10,0.807373756369715,0.00605267074038683,0.00191402254666801,2.2621571627982,0.803043936556012,0.811703576183417
