k,max_depth,n,mean_f1,sd_f1,se,ci_lower,ci_upper
3,3,10,0.057064738413412884,0.0054153428642378315,0.0017124817761731538,0.05319083549718567,0.060938641329640095
3,5,10,0.5752636470979591,0.014099451916890686,0.004458638181740165,0.5651775067985608,0.5853497873973573
3,None,10,0.7901375118714821,0.007421209670781652,0.0023467925553338352,0.784828698282701,0.7954463254602632
5,3,10,0.060804697908990665,0.005870379137963472,0.0018563768804700394,0.056605281651878614,0.06500411416610272
5,5,10,0.5946104748377559,0.013357830771114526,0.004224116983580522,0.5850548583466155,0.6041660913288962
5,None,10,0.797510182666443,0.006074991205328695,0.0019210808974330308,0.7931643957538927,0.8018559695789933
10,3,10,0.05448090502642124,0.0041049953289356055,0.0012981135023788612,0.05154436826881728,0.057417441784025205
10,5,10,0.5939060495006078,0.009561259251474531,0.003023535653401615,0.5870663366651205,0.600745762336095
10,None,10,0.8073737563697145,0.006052670740386828,0.001914022546668007,0.8030439365559052,0.8117035761835238
