"k","n","mean_f1","sd_f1","se","t_value","ci_lower","ci_upper"
"3",10,0.790137511871482,0.00742120967078165,0.00234679255533384,2.2621571627982,0.784828698282832,0.795446325460132
"5",10,0.797510182666443,0.0060749912053287,0.00192108089743303,2.2621571627982,0.793164395754,0.801855969578886
"10",10,0.807373756369715,0.00605267074038683,0.00191402254666801,2.2621571627982,0.803043936556012,0.811703576183417
